y	MEN	URBAN	PRIVATE	AGE	SENIORITY
0	1	1	1	58	32
1	1	0	1	37	30
1	1	0	1	56	28
0	1	0	1	68	27
0	1	0	1	58	26
0	1	0	0	57	26
1	0	0	1	46	25
1	1	0	1	65	25
0	1	0	1	64	24
0	1	0	0	53	22
1	1	0	1	45	21
1	1	1	1	43	21
0	1	0	1	59	20
1	1	0	1	56	20
1	1	0	1	48	20
1	1	1	1	71	20
1	0	0	1	59	19
0	0	1	1	63	19
1	1	0	1	61	23
1	1	1	1	59	21
0	1	0	1	55	19
1	1	0	1	45	19
0	1	0	1	72	19
1	1	0	1	53	19
0	1	1	1	50	21
0	1	0	1	57	19
0	1	0	1	65	19
0	1	1	1	66	19
1	0	1	1	68	26
1	1	0	1	53	20
0	1	1	1	62	30
1	1	1	1	71	18
1	1	0	1	52	24
0	1	0	1	69	18
1	1	1	1	64	18
1	1	0	1	54	21
1	1	0	1	50	19
0	1	0	1	66	18
1	0	1	1	53	19
1	1	0	1	43	26
0	1	0	1	76	18
1	1	1	1	56	18
1	1	1	1	47	25
1	1	1	1	47	17
1	1	1	1	56	26
1	1	0	1	50	23
1	1	1	1	44	19
0	1	1	1	50	20
0	1	0	1	62	15
0	1	0	1	65	18
0	1	0	1	46	17
1	1	0	1	48	17
0	1	0	1	60	17
0	0	0	1	46	17
0	1	1	1	48	17
1	1	0	1	54	26
0	1	1	1	64	17
1	1	1	1	51	21
0	1	0	1	69	16
1	0	0	1	47	21
1	1	1	1	44	18
1	0	0	1	61	16
0	0	1	1	52	16
1	1	0	1	56	21
0	1	0	1	61	16
0	1	1	1	72	16
0	1	0	1	46	16
1	1	0	1	48	18
1	1	1	1	48	16
1	1	1	1	44	16
0	1	0	1	48	16
0	1	0	1	64	19
1	0	1	1	36	16
1	1	1	1	47	16
0	1	0	1	57	16
1	1	1	1	58	18
1	1	1	1	53	15
1	1	0	1	49	21
1	1	0	1	74	29
1	1	0	1	46	25
0	1	0	1	55	20
1	1	0	1	57	28
0	1	0	1	55	15
0	1	0	1	76	19
1	1	0	1	54	21
0	1	0	1	51	15
0	1	1	1	73	15
1	1	0	1	57	21
0	1	0	1	50	15
1	1	0	1	58	21
